Pos.	Team	Driver	Time (sec)	Lap	Points
1	Ferrari	Leclerc	1.94	19	25
2	Red Bull	Perez	1.95	17	18
3	McLaren	Norris	2.17	29	15
4	Red Bull	Verstappen	2.22	23	12
5	Aston Martin	Alonso	2.36	22	10
6	RB	Tsunoda	2.44	28	8
7	Mercedes	Hamilton	2.49	26	6
8	Haas	Hulkenberg	2.51	28	4
9	Alpine	Gasly	2.52	12	2
10	Williams	Sargeant	2.56	11	1
11	Alpine	Ocon	2.56	22	
12	RB	Ricciardo	2.56	28	
13	McLaren	Piastri	2.6	27	
14	Red Bull	Perez	2.64	28	
15	Aston Martin	Stroll	2.65	28	
16	Sauber	Zhou	2.73	28	
17	Sauber	Bottas	2.81	29	
18	Haas	Magnussen	2.86	22	
19	Williams	Albon	3	53	
20	Aston Martin	Stroll	3.03	11	
21	Williams	Albon	3.04	10	
22	Mercedes	Russell	3.1	24	
23	Ferrari	Sainz	3.19	27	
24	Haas	Hulkenberg	3.26	12	
25	Sauber	Bottas	3.74	11	
26	Haas	Magnussen	9.85	28	
27	McLaren	Piastri	10.7	40	
28	Haas	Magnussen	11.05	31	
